Song	Genre	Youtube	Tags	Map	Mapper
I'LL BE THERE FOR YOU (TV Size) ICHIKO	Anime	https://www.youtube.com/watch?v=B54WM7oaa_g	anime, jpop, j-pop, pop, opening, short, ver, version, zero, no, tsukaima, f, ill, i, will, elinor, [_eli_], eli, guanineso, my_angel_ram	https://osu.ppy.sh/beatmapsets/1085263	https://osu.ppy.sh/users/11655886
Ao to Natsu Mrs. GREEN APPLE	Pop	https://www.youtube.com/watch?v=V0U10XTx2Mg	j, pop, jpop, j-pop, japanese, pop, cut, short, ver, version, reform, kujinn, haruto, haruto_aizawa, stixy, blue, and, summer, days, in	https://osu.ppy.sh/beatmapsets/1216255	https://osu.ppy.sh/users/12084288
Piano Man Billy Joel	Rock	https://www.youtube.com/watch?v=gxEPV4kolz0	english, rock, timing, sing, us, a, song, you're, the, piano, man, 1973, harmonica, nostalgic, nostalgia, old, people, music, youre, your	https://osu.ppy.sh/beatmapsets/1081449	https://osu.ppy.sh/users/2706438
Mizuoto to Curtain MIMI	Pop	https://www.youtube.com/watch?v=d0bd3sQ1_XQ	featured, artist, mappers, guild, hatsune, miku, 初音ミク, pop, japanese, vocaloid	https://osu.ppy.sh/beatmapsets/1206296	https://osu.ppy.sh/users/2716981
Shijima ni Saku MIMI	Classical	https://www.youtube.com/watch?v=Z_AReV_czu8	hatsune, miku, feat., 初音ミク, featured, artist, fa, mappers', guild, japanese, classical, pop, piano, vocaloid	https://osu.ppy.sh/beatmapsets/1205717	https://osu.ppy.sh/users/2202645
Marshmary MIMI	Pop	https://www.youtube.com/watch?v=qtuX4cHk-vE	mappers', guild, mg, featured, artist, fa, vocaloid, japanese, pop, hatsune, miku, 初音ミク	https://osu.ppy.sh/beatmapsets/1195899	https://osu.ppy.sh/users/10974170
Central Nucleus Feryquitous	Electronic	https://www.youtube.com/watch?v=iK8423emxHM	ad:drum'n'bass, 3, diverse, system, dnb, electronic, instrumental, drum, and, base, d&b, diverse, focus, feryquitous	https://osu.ppy.sh/beatmapsets/685537	https://osu.ppy.sh/users/702598
ARCADIA ~Rakuen ni Fuku Kaze~ canoue	Video Game	https://www.youtube.com/watch?v=8LJQe9A6KHI	shizuku-, lasse, kowari, battle, princess, of, arcadias, no, ikusahime, apollosoft, nippon, ichi, software, manyo, 日山尚, hiyama, nao, 霜月はるか, shimotsuki, haruka	https://osu.ppy.sh/beatmapsets/1151885	https://osu.ppy.sh/users/1125647
Beside You (feat. Soundr) Rameses B	Electronic	https://www.youtube.com/watch?v=Pipf2X6bHYI	dnb, drum, and, bass, ncs, milan-, frey, mikii, touhou, instrumental, electronic, english, cut, version	https://osu.ppy.sh/beatmapsets/528664	https://osu.ppy.sh/users/3492472
Kuchizuke Diamond WEAVER	Pop	https://www.youtube.com/watch?v=lugIPQPGwgI	birthday, map, japanese, anime, pop, rock, maot, ataraxia, kalindraz, yamada, kun, to, nana, nin, no, majo, urara, shiraishi, 2015	https://osu.ppy.sh/beatmapsets/1103117	https://osu.ppy.sh/users/5099768
Corona Utsu-P	Metal	https://www.youtube.com/watch?v=r_7PNpw1u7k	edu, edward, mirash, osu, tatakae, ouendan, crown, my, song, is, shit, utsup, metal, vocaloid, moksha, rock, power, kagamine, rin, 鏡音リン	https://osu.ppy.sh/beatmapsets/1001722	https://osu.ppy.sh/users/5099768
Epona Eluveitie	Metal	https://www.youtube.com/watch?v=TkbadvaMuXo	grimbow, evocation, ii, -, pantheon, folk, metal, gallic, gaulish, gaul	https://osu.ppy.sh/beatmapsets/641546	https://osu.ppy.sh/users/2239480
Mimic ReoNa	Pop	https://www.youtube.com/watch?v=1VYZ61IDx88	japanese, pop, j-pop, anima	https://osu.ppy.sh/beatmapsets/1237173	https://osu.ppy.sh/users/6064571
Ready For The Madness RiraN	Electronic	https://www.youtube.com/watch?v=pfkTJCoYngA	instrumental, lose, control, electronic, hardstyle, mappers', guild, mg, featured, artist, fa, daycore, gordon123, left, cris-, _tranquility, english	https://osu.ppy.sh/beatmapsets/999054	https://osu.ppy.sh/users/4800816
Theater of Life (TV Size) Suzuki Konomi	Anime	https://www.youtube.com/watch?v=cgJ4oJfgz7I	deca-dence, japanese, anime, opening, jpop, female, vocalist, kowari, basensorex, elinor, [_eli_], eli, reform, kujinn, smokelind	https://osu.ppy.sh/beatmapsets/1225615	https://osu.ppy.sh/users/4452992
Wishing Well Juice WRLD	Hip Hop	https://www.youtube.com/watch?v=C5i-UnuUKUI	rap, hip, hop, hip-hop, english, world, legends, never, die	https://osu.ppy.sh/beatmapsets/1236449	https://osu.ppy.sh/users/10726630
