Song 	 Genre 	 Stream 	 Tags 	 Likes/Days 	 Map 	 Mapper 
[Extra Sensory] Hayako – Analys	 - 	https://www.youtube.com/watch?v=NFVv9iWKMkU	ELECTRONIC, MOD CHART	=(303-10)/7	https://bsaber.com/songs/d00c/	https://bsaber.com/tag/reaxt
[FUTURE FUNK PACK] Windy Summer (Night Tempo 100% Pure Remastered)	 - 	https://www.youtube.com/watch?v=cRcGdTcZLFQ	80'S, FUTURE FUNK, J-POP, JAPANESE	=(39-0)/3	https://bsaber.com/songs/d35a/	https://bsaber.com/tag/etan
[FUTURE FUNK PACK] Remember Summer Days (MACROSS 82-99 Short Ver.)	 - 	https://www.youtube.com/watch?v=lJFHpqQ9Oa8	80'S, FUTURE FUNK, J-POP, JAPANESE	=(38-0)/3	https://bsaber.com/songs/d35b/	https://bsaber.com/tag/etan
EveryBody -Shirakami Fubuki	 - 	https://www.youtube.com/watch?v=8CQcw8SaWBc	-	=(35-0)/7	https://bsaber.com/songs/d000/	https://bsaber.com/tag/emir
Windows XP Startup	 - 	https://www.youtube.com/watch?v=bzkcepytOGc	-	=(40-1)/6	https://bsaber.com/songs/d02f/	https://bsaber.com/tag/epicewok
Seven Lions – Silent Skies (ft. Karra) | [Chroma RGB]	 - 	https://www.youtube.com/watch?v=bi7-VsGyZiU	-	=(29-0)/5	https://bsaber.com/songs/d191/	https://bsaber.com/tag/nitronikexe
cYsmix – Peer Gynt (Chroma 2.0)	 - 	https://www.youtube.com/watch?v=SlIgmyEZ2Uw	-	=(39-1)/3	https://bsaber.com/songs/d299/	https://bsaber.com/tag/bloodcloak
Blossom – Synthion	 - 	https://www.youtube.com/watch?v=5utPVxGL1kA	-	=(38-1)/4	https://bsaber.com/songs/d268/	https://bsaber.com/tag/wanguskhan
Give Me a Nightmare – Alice Schach and the Magic Orchestra	 - 	https://www.youtube.com/watch?v=6Fa1I1zqK-g	-	=(27-0)/3	https://bsaber.com/songs/d284/	https://bsaber.com/tag/emir
Chili Corn Carne – The Real Group	 - 	https://www.youtube.com/watch?v=Yzv1KS1xyNE	-	=(36-1)/2	https://bsaber.com/songs/d3f2/	https://bsaber.com/tag/emir
Kodachrome – Paul Simon [Chroma]	 - 	https://www.youtube.com/watch?v=JD6Zq505pnM	360 DEGREE	=(26-0)/6	https://bsaber.com/songs/d042/	https://bsaber.com/tag/techbutterfly
[FUTURE FUNK PACK] Disco Lady – Nanidato	 - 	https://www.youtube.com/watch?v=eQjYdwbgYN8	DISCO, FUTURE FUNK, JAPANESE	=(35-1)/2	https://bsaber.com/songs/d410/	https://bsaber.com/tag/etan
[FUTURE FUNK PACK] Shiawase No Monosashi (VANTAGE // Short Ver.)	 - 	https://www.youtube.com/watch?v=spN2_Tuw9hE	FUTURE FUNK, J-POP, JAPANESE	=(21-0)/0.5416666666666666	https://bsaber.com/songs/d4a5/	https://bsaber.com/tag/etan
Bohemian Rhapsody – Queen	 - 	https://www.youtube.com/watch?v=fJ9rUzIMcZQ	-	=(37-2)/5	https://bsaber.com/songs/d0be/	https://bsaber.com/tag/jokidum
kanaria – KING	 - 	https://www.youtube.com/watch?v=cm-l2h6GB8Q	-	=(28-1)/2	https://bsaber.com/songs/d3f4/	https://bsaber.com/tag/x100110x
Ventura Highway – America	 - 	None	360 DEGREE	=(19-0)/3	https://bsaber.com/songs/d2ca/	https://bsaber.com/tag/techbutterfly
Boulevard of Broken Dreams (Nightcore)	 - 	https://www.youtube.com/watch?v=VA2lAprf5Qc	-	=(23-1)/4	https://bsaber.com/songs/d1dd/	https://bsaber.com/tag/tranch
Laur – Metamorphose	 - 	https://www.youtube.com/watch?v=kFTH7lVxX-Q	-	=(15-0)/6	https://bsaber.com/songs/d085/	https://bsaber.com/tag/spookybeard
Azazal & Said – I Said Meow	 - 	https://www.youtube.com/watch?v=Byuhn6hkJbM	-	=(15-0)/5	https://bsaber.com/songs/d0ea/	https://bsaber.com/tag/cyansnow
kanaria – KING	 - 	https://www.youtube.com/watch?v=cm-l2h6GB8Q	-	=(22-1)/4	https://bsaber.com/songs/d250/	https://bsaber.com/tag/x100110x
Trifect – Neverland (Short Ver)	 - 	https://www.youtube.com/watch?v=AsG5HLE4Jfs	-	=(4-1)/2	https://bsaber.com/songs/d3d7/	https://bsaber.com/tag/carrot090
